USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
kamalbush          592   0.0  1.2 433485952  97920   ??  S     1:12PM   4:54.60 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
root               591   0.0  0.1 426950192   5616   ??  Ss    1:12PM   0:00.20 /usr/libexec/mobileactivationd
kamalbush          588   0.0  0.2 426974400  12896   ??  S     1:12PM   0:18.10 /usr/libexec/secd
kamalbush          586   0.0  0.2 426963344  13744   ??  S     1:12PM   0:03.89 /usr/libexec/knowledge-agent
kamalbush          584   0.0  0.1 426968416  10320   ??  S     1:12PM   0:00.36 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
kamalbush          575   0.0  0.1 426952880  10464   ??  S     1:12PM   0:06.48 /usr/libexec/UserEventAgent (Aqua)
kamalbush          583   0.0  0.1 426928592   8992   ??  S     1:12PM   0:00.24 /usr/libexec/pboard
kamalbush          581   0.0  0.1 426963696  11248   ??  S     1:12PM   0:10.59 /usr/libexec/lsd
kamalbush          582   0.0  0.3 411785504  24912   ??  S     1:12PM   0:24.83 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
kamalbush          579   0.0  0.2 411980032  18752   ??  S     1:12PM   0:00.98 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
kamalbush          580   0.0  0.1 410973616  10016   ??  S     1:12PM   0:00.88 /usr/sbin/universalaccessd launchd -s
root               570   0.0  0.1 426956384   9328   ??  Ss    1:12PM   0:03.89 /usr/libexec/wifip2pd
kamalbush          568   0.0  0.1 426919024   5136   ??  S     1:12PM   0:12.61 /usr/sbin/cfprefsd agent
root               566   0.0  0.1 426951024  10144   ??  Ss    1:12PM   0:00.30 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_spotlight         556   0.0  0.0 426916640   1760   ??  S     1:12PM   0:00.45 /usr/sbin/distnoted agent
root               552   0.0  0.1 426953728   6848   ??  Ss    1:12PM   0:01.74 /usr/libexec/rtcreportingd
root               547   0.0  0.2 412327664  13104   ??  Ss    1:12PM   0:05.76 /Applications/ExpressVPN.app/Contents/MacOS/expressvpnd
_nsurlsessiond     543   0.0  0.0 426916640   1712   ??  S     1:12PM   0:00.46 /usr/sbin/distnoted agent
root               542   0.0  0.8 433580288  64032   ??  Ss    1:12PM   1:01.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
_softwareupdate    538   0.0  0.0 426916640   1792   ??  S     1:12PM   0:00.50 /usr/sbin/distnoted agent
root               537   0.0  0.0 426917760   2976   ??  Ss    1:12PM   0:00.04 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
root               534   0.0  0.3 426987696  21888   ??  Ss    1:12PM   1:19.07 /usr/libexec/searchpartyd
root               530   0.0  0.1 426951824   5248   ??  Ss    1:12PM   0:02.50 /System/Library/CoreServices/TimeMachine/backupd
root               527   0.0  0.1 426951392   5424   ??  Ss    1:12PM   0:02.17 /usr/libexec/aned
_appleevents       525   0.0  0.1 426950544   4608   ??  Ss    1:12PM   0:00.20 /System/Library/CoreServices/appleeventsd --server
_locationd         519   0.0  0.1 426954720   7504   ??  S     1:12PM   0:01.33 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_locationd         521   0.0  0.0 426916640   1712   ??  S     1:12PM   0:00.46 /usr/sbin/distnoted agent
_cmiodalassistants   522   0.0  0.1 426950800   4400   ??  Ss    1:12PM   0:00.08 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
_cmiodalassistants   520   0.0  0.0 426949808   3808   ??  Ss    1:12PM   0:00.04 /usr/libexec/cameracaptured
_cmiodalassistants   518   0.0  0.1 426955120   4480   ??  Ss    1:12PM   0:00.90 /usr/sbin/appleh13camerad
root               516   0.0  0.1 426950048   4800   ??  Ss    1:12PM   0:23.62 /usr/libexec/findmybeaconingd
root               514   0.0  0.1 426951200   7152   ??  Ss    1:12PM   0:02.07 /usr/sbin/WirelessRadioManagerd
root               507   0.0  0.0 426950672   2976   ??  Ss    1:12PM   0:00.74 /usr/sbin/mDNSResponderHelper
root               508   0.0  0.1 426950496   5408   ??  Ss    1:12PM   0:01.57 /usr/libexec/securityd_system
root               506   0.0  0.0 426916672   3584   ??  Ss    1:12PM   0:00.32 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
_modelmanagerd     504   0.0  0.2 426982336  13312   ??  Ss    1:12PM   0:01.14 /usr/libexec/modelmanagerd
_driverkit         499   0.0  0.0 426851696   1152   ??  Ss    1:12PM   0:01.51 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000baa com.apple.AppleUserHIDDrivers
_driverkit         498   0.0  0.0 426851488    576   ??  Ss    1:12PM   0:00.04 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000ba8 com.apple.DriverKit-IOUserDockChannelSerial
_driverkit         497   0.0  0.4 426916112  32576   ??  Ss    1:12PM   2:04.92 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000aba com.apple.DriverKit-AppleBCMWLAN
_cmiodalassistants   492   0.0  0.0 426916640   1712   ??  S     1:12PM   0:00.48 /usr/sbin/distnoted agent
root               494   0.0  0.0 426916320   2944   ??  Ss    1:12PM   0:00.04 /usr/libexec/ApplicationFirewall/socketfilterfw
_biome             479   0.0  0.1 426950640   9392   ??  Ss    1:12PM   0:01.44 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
_analyticsd        403   0.0  0.1 426961200  11424   ??  Ss    1:12PM   0:05.36 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
_networkd          472   0.0  0.1 426965184  12304   ??  Ss    1:12PM   0:15.92 /usr/libexec/symptomsd
root               467   0.0  0.0 410922720   3424   ??  Ss    1:12PM   0:08.96 /usr/libexec/audioclocksyncd
root               441   0.0  0.0 426951632   3424   ??  Ss    1:12PM   0:01.24 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
_locationd         362   0.0  0.2 426980960  20784   ??  Ss    1:12PM   1:53.26 /usr/libexec/locationd
root               432   0.0  0.2 426961488  14208   ??  Ss    1:12PM   0:41.29 /usr/libexec/syspolicyd
_coreaudiod        425   0.0  0.0 426916640   1712   ??  S     1:12PM   0:00.51 /usr/sbin/distnoted agent
_mdnsresponder     427   0.0  0.1 426962720  11840   ??  Ss    1:12PM   0:23.42 /usr/sbin/mDNSResponder
_windowserver      418   0.0  0.0 426916640   1712   ??  S     1:12PM   0:00.50 /usr/sbin/distnoted agent
root               419   0.0  0.0 426916640   1904   ??  S     1:12PM   0:00.59 /usr/sbin/distnoted agent
root               415   0.0  0.1 426971376   7728   ??  Ss    1:12PM   2:16.65 /usr/libexec/mobileassetd
root               408   0.0  0.1 426951120   5856   ??  Ss    1:12PM   0:01.51 /usr/libexec/eligibilityd
root               405   0.0  0.1 426949472   6032   ??  Ss    1:12PM   0:01.24 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
root               404   0.0  0.1 426951664   7168   ??  Ss    1:12PM   0:00.29 /usr/libexec/biometrickitd --launchd
root               402   0.0  0.1 426952912   7520   ??  Ss    1:12PM   0:04.02 /usr/libexec/nehelper
_nsurlsessiond     400   0.0  0.1 426993744   9760   ??  Ss    1:12PM   0:52.28 /usr/libexec/nsurlsessiond --privileged
_coreaudiod        397   0.0  0.1 426994208   8912   ??  Ss    1:12PM   0:29.47 /usr/sbin/coreaudiod
root               399   0.0  0.0 426916416   2736   ??  Ss    1:12PM   0:49.60 /usr/libexec/apfsd
_trustd            396   0.0  0.1 426957328  11968   ??  Ss    1:12PM   0:13.20 /usr/libexec/trustd
root               395   0.0  0.2 426960272  13392   ??  Ss    1:12PM   0:06.26 /usr/libexec/lsd runAsRoot
root               393   0.0  0.2 426956288  17408   ??  Ss    1:12PM   3:12.86 /usr/libexec/airportd
_timed             358   0.0  0.1 426950656   5696   ??  Ss    1:12PM   0:03.40 /usr/libexec/timed
_distnote          368   0.0  0.0 426916640   3376   ??  Ss    1:12PM   0:03.80 /usr/sbin/distnoted daemon
root               391   0.0  0.1 426936304   4304   ??  Ss    1:12PM   0:00.69 /System/Library/CoreServices/coreservicesd
root               390   0.0  0.1 426959152  10944   ??  Ss    1:12PM   0:08.34 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               388   0.0  0.2 426962736  15360   ??  Ss    1:12PM   1:01.90 /usr/libexec/runningboardd
_corespeechd       337   0.0  0.0 410662672   1632   ??  Ss    1:12PM   0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
kamalbush          387   0.0  0.3 412091712  24880   ??  Ss    1:12PM   0:08.52 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
root               386   0.0  0.1 426917536   5376   ??  Ss    1:12PM   0:12.74 /usr/sbin/cfprefsd daemon
root               385   0.0  0.2 426961280  15152   ??  Ss    1:12PM   0:06.16 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               329   0.0  0.0 426912656   2624   ??  Ss    1:12PM   0:00.02 /usr/libexec/IOMFB_bics_daemon
root               323   0.0  0.1 426961936  11296   ??  Ss    1:12PM   0:02.22 /usr/sbin/systemstats --daemon
root               320   0.0  0.1 426956800   9776   ??  Ss    1:12PM   0:03.96 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root               349   0.0  0.1 426958896   9920   ??  Ss    1:12PM   0:01.37 /usr/libexec/coreduetd
root               363   0.0  0.1 426951472   5584   ??  Ss    1:12PM   0:04.10 /usr/libexec/nesessionmanager
root               370   0.0  0.2 426965264  18192   ??  Ss    1:12PM   1:17.29 /usr/libexec/PerfPowerServices
root               382   0.0  0.1 426950128   6832   ??  Ss    1:12PM   0:00.73 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
root               357   0.0  0.1 426952416   9792   ??  Ss    1:12PM   0:08.74 /System/Library/CoreServices/launchservicesd
root               373   0.0  0.1 426951216   4768   ??  Ss    1:12PM   0:00.26 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root               375   0.0  0.1 426916592   5072   ??  Ss    1:12PM   0:00.32 /usr/libexec/usermanagerd -t 15
root               366   0.0  0.2 426957488  15328   ??  Ss    1:12PM   0:29.33 /usr/libexec/dasd
root               350   0.0  0.0 426917344   1056   ??  Ss    1:12PM   0:01.87 /usr/sbin/syslogd
root               315   0.0  0.2 427023296  16768   ??  Ss    1:12PM   0:44.13 /usr/libexec/logd
root               365   0.0  0.0 426912592   2112   ??  Ss    1:12PM   0:00.03 autofsd
root               374   0.0  0.0 426912608   1216   ??  Ss    1:12PM   0:00.02 /usr/sbin/KernelEventAgent
root               360   0.0  0.1 426953616   6496   ??  Ss    1:12PM   0:03.88 /usr/sbin/securityd -i
root               380   0.0  0.1 426950096   8816   ??  Ss    1:12PM   0:22.45 /usr/libexec/corebrightnessd --launchd
root               377   0.0  0.3 426983456  26928   ??  Ss    1:12PM   2:27.57 /usr/sbin/bluetoothd
root               339   0.0  0.0 426916784   2656   ??  Ss    1:12PM   0:00.49 /usr/libexec/watchdogd
root               356   0.0  0.2 426961328  16608   ??  Ss    1:12PM   0:28.73 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root               353   0.0  0.1 426949904   4832   ??  Ss    1:12PM   0:02.02 /usr/libexec/thermalmonitord
root               343   0.0  0.3 427001648  21488   ??  Ss    1:12PM   1:19.28 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
root               372   0.0  0.0 426916208   3664   ??  Ss    1:12PM   0:00.11 /System/Library/CoreServices/logind
root               333   0.0  0.0 426950320   2304   ??  Ss+   1:12PM   0:00.06 /usr/libexec/remoted
root               328   0.0  0.1 426952176   9840   ??  Ss    1:12PM   0:14.88 /System/Library/CoreServices/powerd.bundle/powerd
root               326   0.0  0.1 426954512   8128   ??  Ss    1:12PM   0:17.42 /usr/libexec/configd
root               319   0.0  0.1 426923888   5120   ??  Ss    1:12PM   0:58.63 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
root               378   0.0  0.0 426916336   3568   ??  Ss    1:12PM   0:13.61 /usr/sbin/notifyd
root               346   0.0  0.1 426950192   5152   ??  Ss    1:12PM   0:01.83 /usr/libexec/diskarbitrationd
root               381   0.0  0.1 426951232   8368   ??  Ss    1:12PM   0:07.15 /usr/libexec/AirPlayXPCHelper
root               317   0.0  0.1 426959024  11856   ??  Ss    1:12PM   0:04.80 /usr/libexec/UserEventAgent (System)
root               354   0.0  0.1 426957600  12416   ??  Ss    1:12PM   0:38.02 /usr/libexec/opendirectoryd
root               345   0.0  0.1 426954192   4368   ??  Ss    1:12PM   0:00.90 /usr/libexec/kernelmanagerd
root                 1   0.0  0.2 426852624  16752   ??  Ss    1:11PM   1:02.19 /sbin/launchd
root              4279   0.0  0.2 426957328  17632   ??  Ss    9:03AM   0:00.24 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
_spotlight        4278   0.0  0.2 426967984  20672   ??  S     9:03AM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
kamalbush         4277   0.0  0.1 426946064   9344   ??  S     9:03AM   0:00.05 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
root              4276   0.0  0.1 426951296  11360   ??  Ss    9:03AM   0:00.07 /usr/libexec/ospredictiond
_applepay         4275   0.0  0.1 410791408   7024   ??  Ss    9:03AM   0:00.03 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
_applepay         4274   0.0  0.2 426952416  14112   ??  Ss    9:03AM   0:00.15 /usr/libexec/nfcd
kamalbush         4273   0.0  0.3 426969072  22288   ??  S     9:03AM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
kamalbush         4271   0.0  0.1 426912672   9632   ??  S     9:02AM   0:00.05 /usr/libexec/feedbackd
