USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
kamalbush         3777   0.0  0.1 426928464   7264   ??  Ss    8:25AM   0:00.11 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kamalbush         3729   0.0  0.1 426971264  10240   ??  S     8:20AM   0:00.32 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
root              3721   0.0  0.1 426951232  10736   ??  Ss    8:19AM   0:00.16 /usr/libexec/findmydeviced
kamalbush         3705   0.0  0.1 426964528  11824   ??  S     8:16AM   0:00.17 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
root              3703   0.0  0.0 426916240   3152   ??  Ss    8:16AM   0:00.03 /usr/libexec/keybagd -t 15
kamalbush         3693   0.0  0.2 426962896  12832   ??  S     8:15AM   0:00.59 /usr/libexec/mlhostd
_modelmanagerd    3672   0.0  0.0 426916640   1760   ??  S     8:11AM   0:00.14 /usr/sbin/distnoted agent
_modelmanagerd    3671   0.0  0.2 427060224  17824   ??  Ss    8:11AM   0:02.44 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService
root              3626   0.0  0.0 426949712   3568   ??  Ss    8:09AM   0:00.15 /System/Library/CoreServices/osanalyticshelper server-init
kamalbush         3612   0.0  0.1 426963040   5088   ??  Ss    8:08AM   0:00.11 /System/Library/ExtensionKit/Extensions/PackageThumbnailExtension.appex/Contents/MacOS/PackageThumbnailExtension
kamalbush         3602   0.0  0.1 413636000   9984   ??  S     8:08AM   0:00.36 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
kamalbush         3587   0.0  0.1 410986176  12032   ??  Ss    8:06AM   0:00.16 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
kamalbush         3585   0.0  0.1 426913664  12048   ??  Ss    8:05AM   0:00.15 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
